receipt_date,cumulative_total
2023-11-17,532327.12
2023-11-18,532577.12
2023-11-18,532827.12
2023-11-18,532847.12
2023-11-18,533609.12
2023-11-19,533884.15
2023-11-19,533964.15
2023-11-20,534214.15
2023-11-20,534814.15
2023-11-20,535064.15
2023-11-20,535314.15
2023-11-20,535564.15
2023-11-20,536064.15
2023-11-20,536314.15
2023-11-20,536564.15
2023-11-20,536814.15
2023-11-20,537064.15
2023-11-20,537564.15
2023-11-20,537814.15
2023-11-20,538064.15
2023-11-20,538314.15
2023-11-21,538414.15
2023-11-21,538664.15
2023-11-21,539664.15
2023-11-21,540164.15
2023-11-22,541164.15
2023-11-22,541414.15
2023-11-22,541664.15
2023-11-22,541764.15
2023-11-22,541774.15
2023-11-22,544174.15
2023-11-22,546574.15
2023-11-22,546719.15
2023-11-22,546969.15
2023-11-24,547219.15
2023-11-24,547469.15
2023-11-25,548395.15
2023-11-26,548595.15
2023-11-27,548845.15
2023-11-27,548895.15
2023-11-27,549145.15
2023-11-27,549395.15
2023-11-27,549495.15
2023-11-27,549520.15
2023-11-27,549770.15
2023-11-27,550020.15
2023-11-28,552420.15
2023-11-28,554820.15
2023-11-28,555070.15
2023-11-28,555120.15
2023-11-28,555370.15
2023-11-28,555470.15
2023-11-28,555720.15
2023-11-28,555820.15
2023-11-29,556070.15
2023-11-29,556220.15
2023-11-29,556270.15
2023-11-29,556770.15
2023-11-29,556795.15
2023-11-29,556820.15
2023-11-29,558091.15
2023-11-29,558101.15
2023-11-29,558201.15
2023-11-29,558301.15
2023-11-30,558318.15
2023-11-30,558343.15
2023-11-30,558593.15
2023-11-30,558643.15
2023-11-30,559143.15
2023-11-30,559393.15
2023-11-30,559403.15
2023-11-30,559653.15
2023-11-30,559703.15
2023-11-30,559803.15
2023-11-30,560053.15
2023-11-30,560253.15
2023-11-30,560253.41
2023-11-30,562653.41
2023-11-30,562903.41
2023-11-30,563003.41
2023-11-30,563028.41
2023-11-30,563053.41
2023-11-30,564553.41
2023-11-30,564578.41
2023-11-30,564828.41
2023-11-30,564878.41
2023-12-01,564978.41
2023-12-01,565478.41
2023-12-01,565728.41
2023-12-01,566228.41
2023-12-01,566478.41
2023-12-01,566728.41
2023-12-01,566978.41
2023-12-01,567178.41
2023-12-01,567228.41
2023-12-01,567478.41
2023-12-01,568855.41
2023-12-01,569855.41
2023-12-01,569880.41
2023-12-02,570380.41
2023-12-02,570880.41
2023-12-03,571380.41
2023-12-03,572145.2
2023-12-03,573780.41
2023-12-03,574280.41
2023-12-03,575280.41
2023-12-03,575530.41
2023-12-03,575780.41
2023-12-03,576030.41
2023-12-03,576280.41
2023-12-03,576530.41
2023-12-03,577430.41
2023-12-03,577680.41
2023-12-03,577780.41
2023-12-03,578280.41
2023-12-03,578530.41
2023-12-04,578630.41
2023-12-04,578655.41
2023-12-04,578855.41
2023-12-04,579105.41
2023-12-04,579305.41
2023-12-04,579555.41
2023-12-04,579805.41
2023-12-05,580055.41
2023-12-05,580105.41
2023-12-05,580605.41
2023-12-05,583005.41
2023-12-05,583065.41
2023-12-05,583215.41
2023-12-05,583870.41
2023-12-05,584035.41
2023-12-05,586435.41
2023-12-05,588835.41
2023-12-06,589085.41
2023-12-06,589135.41
2023-12-07,589635.41
2023-12-07,589645.41
2023-12-07,589895.41
2023-12-07,590145.41
2023-12-07,590170.41
2023-12-07,590270.41
2023-12-07,590370.41
2023-12-08,590420.41
2023-12-08,590470.41
2023-12-09,590720.41
2023-12-09,590745.41
2023-12-09,590845.41
2023-12-09,591095.41
2023-12-09,591105.41
2023-12-09,591547.41
2023-12-10,591797.41
2023-12-10,592297.41
2023-12-10,592547.41
2023-12-11,593547.41
2023-12-11,593697.41
2023-12-12,593947.41
2023-12-12,594197.41
2023-12-12,594207.41
2023-12-13,594232.41
2023-12-13,594332.41
2023-12-13,594832.41
2023-12-14,594982.41
2023-12-14,595982.41
2023-12-14,596232.41
2023-12-14,596357.41
2023-12-14,596857.41
2023-12-14,596907.41
2023-12-14,596917.41
2023-12-14,596942.41
2023-12-14,596981.41
2023-12-14,597231.41
2023-12-14,597241.41
2023-12-14,597266.41
2023-12-14,598266.41
2023-12-14,598291.41
2023-12-14,598591.41
2023-12-14,599105.41
2023-12-14,599605.41
2023-12-15,599630.41
2023-12-15,599655.41
2023-12-15,599680.41
2023-12-15,599730.41
2023-12-15,600230.41
2023-12-15,601730.41
2023-12-16,601740.41
2023-12-17,601990.41
2023-12-17,601740.41
2023-12-18,601760.41
2023-12-18,601860.41
2023-12-19,602110.41
2023-12-19,603110.41
2023-12-19,603120.41
2023-12-20,603220.41
2023-12-20,603720.41
2023-12-20,603878.41
2023-12-21,608678.41
2023-12-21,603878.41
2023-12-22,603978.41
2023-12-22,604228.41
2023-12-22,604238.41
2023-12-23,604338.41
2023-12-23,604838.41
2023-12-24,604848.41
2023-12-26,605098.41
2023-12-26,605348.41
2023-12-26,605598.41
2023-12-26,605829.41
2023-12-27,608229.41
2023-12-27,610629.41
2023-12-27,610879.41
2023-12-27,610904.41
2023-12-27,613304.41
2023-12-28,613354.41
2023-12-28,613379.41
2023-12-28,613629.41
2023-12-28,613679.41
2023-12-28,616079.41
2023-12-28,618479.41
2023-12-28,620879.41
2023-12-28,620929.41
2023-12-28,620954.41
2023-12-28,621004.41
2023-12-28,621504.41
2023-12-28,621604.41
2023-12-28,624004.41
2023-12-28,626404.41
2023-12-28,626554.41
2023-12-28,626604.41
2023-12-28,628012.41
2023-12-28,628037.41
2023-12-28,628087.41
2023-12-28,628337.41
2023-12-29,628587.41
2023-12-29,629087.41
2023-12-29,629112.41
2023-12-29,629122.41
2023-12-29,629126.16
2023-12-29,629626.16
2023-12-30,629726.16
2023-12-30,629826.16
2023-12-31,630826.16
2023-12-31,630926.16
2023-12-31,630976.16
2023-12-31,631226.16
2023-12-31,632226.16
2023-12-31,632326.16
2023-12-31,632376.16
2023-12-31,632626.16
2023-12-31,632726.16
2023-12-31,632976.16
2023-12-31,633026.16
2023-12-31,633076.16
2024-01-01,633176.16
2024-01-01,633426.16
2024-01-01,633899.16
2024-01-01,634149.16
2024-01-02,635149.16
2024-01-02,635649.16
2024-01-02,635749.16
2024-01-02,635999.16
2024-01-02,636049.16
2024-01-02,636299.16
2024-01-03,637122.41
2024-01-03,637372.41
2024-01-03,637622.41
2024-01-03,638445.68
2024-01-03,638695.68
2024-01-04,638795.68
2024-01-04,638895.68
2024-01-04,638920.68
2024-01-04,639070.68
2024-01-04,639170.68
2024-01-04,639670.68
2024-01-04,639742.68
2024-01-04,641029.58
2024-01-04,641054.58
2024-01-04,641154.58
2024-01-05,642154.58
2024-01-05,642404.58
2024-01-05,642414.58
2024-01-05,642424.58
2024-01-05,642414.58
2024-01-05,642664.58
2024-01-05,642714.58
2024-01-06,642724.58
2024-01-07,642749.58
2024-01-07,642759.58
2024-01-07,643009.58
2024-01-07,643019.58
2024-01-07,643044.58
2024-01-08,643054.58
2024-01-08,643104.58
2024-01-08,643354.58
2024-01-08,643454.58
2024-01-08,643704.58
2024-01-09,643704.73
2024-01-09,644033.63
2024-01-09,644083.63
2024-01-10,644333.63
2024-01-11,644583.63
2024-01-11,644833.63
2024-01-11,644933.63
2024-01-11,645033.63
2024-01-11,645283.63
2024-01-11,645293.63
2024-01-11,645989.63
2024-01-11,646239.63
2024-01-11,646489.63
2024-01-12,646514.63
2024-01-12,646564.63
2024-01-12,646814.63
2024-01-12,647064.63
2024-01-12,647564.63
2024-01-12,647664.63
2024-01-12,647674.63
2024-01-13,647924.63
2024-01-13,647949.63
2024-01-13,648049.63
2024-01-13,648761.63
2024-01-14,648811.63
2024-01-14,648821.63
2024-01-14,649071.63
2024-01-14,649096.63
2024-01-14,649106.63
2024-01-15,649506.63
2024-01-15,649606.63
2024-01-15,650106.63
2024-01-15,651106.63
2024-01-15,651206.63
2024-01-16,651806.63
2024-01-16,654206.63
2024-01-16,654406.63
2024-01-16,654656.63
2024-01-16,654906.63
